T_r (-),p_r (-),omega (-),p_c (Pa),T_c (K),mu ((J*m^3/kmol)^0.5),Z (-),phi (-),no
0.43747292391000414,5.2532369598343265e-15,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238951248,0.9999999999999188,1
0.45253980183559434,9.854690828871403e-15,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238950839,0.999999999999878,1
0.467335211894326,1.7481999889862902e-14,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238950292,0.9999999999998233,1
0.4818616219758979,2.9524197878835804e-14,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238949579,0.999999999999752,1
0.4961214999700088,4.7739307929158503e-14,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023894868,0.9999999999996616,1
0.5101173137663577,7.42679255450551e-14,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238947561,0.99999999999955,1
0.523851531254643,1.116285686795951e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238946212,0.999999999999415,1
0.5373266203245634,1.6269511401957166e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023894461,0.9999999999992548,1
0.5505450488658176,2.3065811905043854e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238942745,0.9999999999990682,1
0.5635092847681047,3.1897287805229434e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.99998902389406,0.999999999998854,1
0.5762217959211229,4.312976451666383e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238938174,0.9999999999986112,1
0.5886850502145712,5.714256241134597e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238935462,0.99999999999834,1
0.6009015155381483,7.432141615060196e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238932464,0.9999999999980403,1
0.6128736597815527,9.505141937197432e-13,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238929187,0.9999999999977128,1
0.6246039508344834,1.1971024844683671e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238925636,0.9999999999973576,1
0.6360948565866388,1.4866186317706211e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238921826,0.9999999999969764,1
0.647348844927718,1.82250827643185e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023891776,0.99999999999657,1
0.6583683837474194,2.2079734459258304e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238913461,0.99999999999614,1
0.6691559409354417,2.6459305370877637e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023890894,0.999999999995688,1
0.679713984381484,3.1389760856297985e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238904213,0.9999999999952156,1
0.6900449819752446,3.689360189555958e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238899305,0.9999999999947244,1
0.7001514016064223,4.2989672417138174e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238894223,0.9999999999942166,1
0.710035711164716,4.9693034760202645e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238888998,0.9999999999936936,1
0.7197003785398243,5.7014907332719715e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238883636,0.9999999999931576,1
0.7291478716214458,6.496265796510811e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023887816,0.99999999999261,1
0.7383806582992792,7.353984624098825e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238872586,0.9999999999920528,1
0.7474012064630237,8.274630812392064e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238866934,0.9999999999914874,1
0.7562119840023773,9.257827642876211e-12,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238861221,0.9999999999909156,1
0.764815458807039,1.0302853104211524e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238855454,0.9999999999903392,1
0.7732140987667077,1.140865732360975e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238849654,0.9999999999897592,1
0.781410371771082,1.2573881890637608e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238843838,0.9999999999891775,1
0.7894067457098604,1.3796880607225839e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238838013,0.9999999999885948,1
0.797205688472742,1.5075741248805012e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023883219,0.9999999999880128,1
0.8048096679494252,1.6408307971203624e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238826388,0.9999999999874326,1
0.8122211520296089,1.779220404516134e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023882061,0.999999999986855,1
0.8194426086029916,1.9224854644291292e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238814869,0.9999999999862812,1
0.8264765055592721,2.0703509452562834e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238809178,0.9999999999857117,1
0.8333253107881493,2.222526489401966e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023880354,0.9999999999851475,1
0.839991492179322,2.378708582088258e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238797958,0.99999999998459,1
0.8464775176224881,2.5385826526362256e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238792448,0.9999999999840388,1
0.8527858550073475,2.7018250975827614e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238787015,0.999999999983495,1
0.858918972223598,2.868105217441825e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238781658,0.9999999999829592,1
0.8648793371609386,3.0370870610830676e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238776383,0.999999999982432,1
0.8706694177090679,3.2084311735944156e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238771196,0.9999999999819136,1
0.8762916817576849,3.38179624514175e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238766106,0.9999999999814044,1
0.8817485971964883,3.556840659727065e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238761107,0.9999999999809048,1
0.8870426319151765,3.7332239439339355e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238756213,0.9999999999804148,1
0.8921762538034486,3.910608116690027e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238751413,0.9999999999799352,1
0.8971519307510029,4.0886589418627244e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.999989023874672,0.9999999999794658,1
0.9019721306475383,4.267047086056905e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238742135,0.999999999979007,1
0.9066393213827536,4.445449184384516e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238737652,0.9999999999785588,1
0.9111559708463474,4.6235488171995264e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238733278,0.9999999999781214,1
0.9155245469280183,4.801037400863885e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238729015,0.999999999977695,1
0.9197475175174654,4.977614995568399e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238724857,0.9999999999772794,1
0.9238273505043871,5.1529910330960626e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238720813,0.9999999999768748,1
0.9277665137784822,5.326884967263503e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238716875,0.9999999999764811,1
0.9315674752294493,5.4990268496706095e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238713051,0.9999999999760988,1
0.9352327027469872,5.669157833374851e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238709336,0.9999999999757272,1
0.9387646642207949,5.837030607309784e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238705731,0.9999999999753668,1
0.9421658275405704,6.002409764683803e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238702236,0.9999999999750172,1
0.9454386605960131,6.165072109254162e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238698851,0.9999999999746788,1
0.9485856312768214,6.324806904263694e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238695575,0.999999999974351,1
0.9516092074726941,6.481416069799879e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238692407,0.999999999974034,1
0.95451185707333,6.634714335349205e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238689343,0.999999999973728,1
0.9572960479684275,6.784529355138923e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238686387,0.9999999999734328,1
0.9599642480476854,6.930701794375251e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238683542,0.9999999999731476,1
0.962518925200803,7.07308539455021e-11,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.9999890238680798,0.9999999999728736,1
