Epoch,TrainLoss,ValLoss,MSE_component,NonNeg,Smooth,CalibBias,CalibSlope,Train_MAE,Val_MAE,Train_MSE_metric,Val_MSE_metric,Train_R2,Val_R2,Gate_Expert1,Gate_Expert2,Gate_Expert3,Gate_Expert4
1,0.0614033803672475,0.02922089711170305,0.022745937618481763,0.0,0.15353786940960323,0.0,0.0,0.13277684152126312,0.09606243669986725,0.022760799154639244,0.012538451701402664,0.8559484481811523,0.9196199178695679,0.2422209084033966,0.2045038342475891,0.2667851746082306,0.286490261554718
2,0.02075418634340167,0.011845151301134716,0.009037590476081651,3.709165398236912e-05,0.22247877541710348,0.0,0.0,0.07537906616926193,0.053453851491212845,0.009040349163115025,0.0049105496145784855,0.9427842497825623,0.9685199856758118,0.16709202527999878,0.12596867978572845,0.3560827374458313,0.3508565425872803
3,0.01294120623565772,0.008651192257688805,0.00455254402340335,0.00032067364924895467,0.26337130341459725,0.0,0.0,0.052433233708143234,0.0392911396920681,0.004551493562757969,0.002824261551722884,0.9711939096450806,0.9818945527076721,0.11781439185142517,0.10070118308067322,0.45704081654548645,0.32444366812705994
4,0.011395103221430497,0.007865461245687171,0.003356637492063729,0.0006240849475622834,0.2742061477373628,0.0,0.0,0.04488386958837509,0.032814834266901016,0.003357774345204234,0.0021045845933258533,0.9787488579750061,0.9865081906318665,0.10179387032985687,0.08711407333612442,0.4972638189792633,0.3138282895088196
5,0.01065661795437336,0.007550184847787023,0.0027537037187036783,0.0008317588006641873,0.2828157907899688,0.0,0.0,0.04028639197349548,0.029722021892666817,0.002753117587417364,0.0017426860285922885,0.9825757145881653,0.988828182220459,0.09761206805706024,0.07330161333084106,0.5122382640838623,0.3168482482433319
6,0.010049358486910076,0.007329829079522328,0.002400185575243086,0.0009118182728664525,0.283508218386594,0.0,0.0,0.03714337572455406,0.026974190026521683,0.002401465317234397,0.0014550855848938227,0.9848012924194336,0.9906718730926514,0.09835290163755417,0.06220247223973274,0.5133960247039795,0.32604849338531494
7,0.00969521302236792,0.007161306132647124,0.0020996679161565707,0.0009414116328437505,0.2849535779041402,0.0,0.0,0.03451215848326683,0.0247039832174778,0.0020996995735913515,0.0012390263145789504,0.9867111444473267,0.9920569658279419,0.10282458364963531,0.052215155214071274,0.5130972266197205,0.3318629860877991
8,0.009408807885997435,0.007085661001672799,0.001920101952547317,0.0009201199523351319,0.2891900442978915,0.0,0.0,0.032477378845214844,0.024059655144810677,0.0019196296343579888,0.0011247156653553247,0.9878507852554321,0.9927898049354553,0.11150898784399033,0.04440590366721153,0.5080643892288208,0.33602067828178406
9,0.009033645897665445,0.00695263370024887,0.001722771378562731,0.0008204116086691262,0.2888327891335768,0.0,0.0,0.030462736263871193,0.022475510835647583,0.0017224751645699143,0.0009886976331472397,0.9890985488891602,0.9936617612838745,0.1262499988079071,0.037910375744104385,0.49495476484298706,0.3408849239349365
10,0.008811869850272642,0.006877066863870079,0.001562923675759093,0.0006558013284709031,0.2880827793303658,0.0,0.0,0.028903258964419365,0.021849175915122032,0.0015633183065801859,0.0009008538909256458,0.9901058673858643,0.9942249059677124,0.14295978844165802,0.03200605511665344,0.4834187626838684,0.3416155278682709
