Epoch,TrainLoss,ValLoss,MSE_component,NonNeg,Smooth,Train_MAE,Val_MAE,Train_MSE_metric,Val_MSE_metric,Train_R2,Val_R2,Gate_Expert1,Gate_Expert2,Gate_Expert3,Gate_Expert4
1,0.0298080338165164,0.019205062311481346,0.025383741090841152,0.0,0.1474764270379263,0.1408911794424057,0.10254806280136108,0.02540038712322712,0.013516114093363285,0.8392426371574402,0.9133524298667908,0.22255893051624298,0.21355408430099487,0.27048560976982117,0.29340147972106934
2,0.01497919184210546,0.011449112641540441,0.008408342727788669,2.1978944577687584e-05,0.21898435231517344,0.07654350996017456,0.05434844642877579,0.00841266755014658,0.0040895831771194935,0.9467567801475525,0.9737829566001892,0.11811555176973343,0.1277114897966385,0.3979169428348541,0.3562559187412262
3,0.011456964614198489,0.010187746237286112,0.003628096362466321,0.00016816973965272635,0.26062594196375677,0.04884936287999153,0.03878236189484596,0.0036275871098041534,0.0021830212790519,0.9770412445068359,0.9860053062438965,0.06890396028757095,0.08800600469112396,0.5156486630439758,0.3274415135383606
4,0.010806528243291027,0.009831108660860495,0.002619029186419485,0.00030736553594846663,0.27230190967812257,0.04108414053916931,0.0328771211206913,0.0026194804813712835,0.0015663106460124254,0.9834215044975281,0.9899588823318481,0.05136026442050934,0.07100265473127365,0.5651779174804688,0.31245899200439453
5,0.010565993759561987,0.009664848722009496,0.0021758184597060522,0.0003545530638161033,0.27896340962718513,0.037254296243190765,0.030857358127832413,0.002175358822569251,0.00131804752163589,0.9862322807312012,0.9915503859519958,0.04447029158473015,0.06014741584658623,0.5847755074501038,0.3106069564819336
6,0.01033450265908066,0.009544365743005817,0.00197344251552268,0.0003912392022089882,0.2779195325339542,0.03504081815481186,0.029031425714492798,0.0019741153810173273,0.001133406301960349,0.9875059723854065,0.9927340745925903,0.0412650890648365,0.05261420086026192,0.5927459001541138,0.313374787569046
7,0.010127917389549754,0.009460516506806016,0.00177983190617798,0.0004007501196931972,0.27746802182758556,0.033331796526908875,0.02761112153530121,0.0017800625646486878,0.0010024498915299773,0.9887341260910034,0.9935736060142517,0.040318507701158524,0.046384748071432114,0.5949627161026001,0.31833407282829285
8,0.010159864950486843,0.009414172308011488,0.0017179829876541215,0.0004090999176375643,0.2805778726058848,0.03230895474553108,0.02740413136780262,0.0017180412542074919,0.0009666960686445236,0.9891266226768494,0.9938027858734131,0.04049786180257797,0.04101376235485077,0.5917277336120605,0.3267607092857361
9,0.009990447195356383,0.009357926329936494,0.0015756343450287686,0.0003956717040904657,0.2797024243894745,0.03094532899558544,0.02621573954820633,0.0015758411027491093,0.0008809245191514492,0.990026593208313,0.9943526387214661,0.042345743626356125,0.0371236726641655,0.5814645886421204,0.33906593918800354
10,0.009885201233384364,0.009318963688036258,0.0015067603733554921,0.00032301379921109935,0.27863534040310806,0.030221959576010704,0.026322852820158005,0.001506955362856388,0.0008867530268616974,0.990462601184845,0.9943153262138367,0.045071881264448166,0.03367956355214119,0.5669363737106323,0.3543121814727783
11,0.009944563323412748,0.00927932499061254,0.001446417613324764,0.00016357033985995632,0.2829443879863795,0.030010055750608444,0.026280278339982033,0.0014459744561463594,0.0008826692937873304,0.9908485412597656,0.9943414926528931,0.05097389966249466,0.031217869371175766,0.5402774810791016,0.3775307238101959
12,0.009865935141330256,0.009260592389513145,0.00150733641725417,8.652073110009524e-05,0.27844692170619967,0.029868772253394127,0.026487521827220917,0.0015078647993505,0.0008900025277398527,0.9904568195343018,0.9942944645881653,0.06034093350172043,0.02888837642967701,0.5268877148628235,0.38388317823410034
13,0.009813536796718836,0.009241117651320317,0.001394382057889529,5.188492480502806e-05,0.28053472927388023,0.029167698696255684,0.025831550359725952,0.0013949181884527206,0.0008442467078566551,0.991171658039093,0.994587779045105,0.0742441713809967,0.026508929207921028,0.5241577625274658,0.3750891387462616
14,0.009741083401090958,0.009233187947591598,0.0013338996775393538,4.004301088785082e-05,0.28015937594806445,0.028724612668156624,0.026097046211361885,0.0013342003803700209,0.0008629969670437276,0.99155592918396,0.9944676160812378,0.0911775678396225,0.02385861426591873,0.5167909860610962,0.368172824382782
15,0.009711015238152708,0.009216539498249238,0.0013377575652317748,4.210507057209992e-05,0.27902438596767537,0.028433462604880333,0.02551766112446785,0.0013376182178035378,0.0008258216548711061,0.9915342926979065,0.9947059154510498,0.10455259680747986,0.02163606323301792,0.5125999450683594,0.3612114489078522
16,0.009599661731215962,0.009212774563242088,0.0012580093650339061,3.73357160242449e-05,0.27798041412059,0.027731070294976234,0.025662081316113472,0.0012569749960675836,0.0008359012426808476,0.9920446872711182,0.9946413040161133,0.11698325723409653,0.019493641331791878,0.5093078017234802,0.35421499609947205
17,0.009738263249506844,0.009203343969685111,0.0013408014954834739,3.4948710783603875e-05,0.27984550139483283,0.02781667374074459,0.025546010583639145,0.0013391881948336959,0.0008294208673760295,0.991524338722229,0.9946828484535217,0.12704074382781982,0.017875030636787415,0.5041772723197937,0.3509070873260498
18,0.009655587813433479,0.009201127929951657,0.0012663437978035826,3.518899393384345e-05,0.27957109642379424,0.027498910203576088,0.02557952329516411,0.0012661715736612678,0.0008302349597215652,0.9919865131378174,0.9946776032447815,0.13816431164741516,0.016364622861146927,0.49979332089424133,0.34567782282829285
19,0.009795173945124535,0.009193569252436811,0.0013244629323975567,3.3271745697300716e-05,0.2822904977728339,0.027564762160182,0.02545740269124508,0.0013245794689282775,0.000819616368971765,0.9916168451309204,0.994745671749115,0.14798617362976074,0.01535269059240818,0.4936722218990326,0.34298884868621826
20,0.009599339340210837,0.009188950866122137,0.001242906679330832,2.7086117605743792e-05,0.278493588812211,0.026935115456581116,0.02532162331044674,0.0012430825736373663,0.0008079145336523652,0.9921326041221619,0.9948207139968872,0.15190227329730988,0.014395026490092278,0.49395236372947693,0.3397502899169922
21,0.009563097691930393,0.009178076151081106,0.0011555624694344314,2.8953828822362564e-05,0.28019327118116266,0.026743236929178238,0.02454940602183342,0.0011559290578588843,0.0007589951856061816,0.9926841855049133,0.9951342940330505,0.1582358479499817,0.013891738839447498,0.4903043508529663,0.3375682830810547
22,0.009603563252398197,0.009176394881003282,0.0012306883434682865,2.8424465210050316e-05,0.27903898682664424,0.026790175586938858,0.024915462359786034,0.0012313035549595952,0.0007830593967810273,0.9922071695327759,0.9949800372123718,0.16308678686618805,0.013019697740674019,0.48998305201530457,0.3339105546474457
23,0.009678790669011719,0.009170998565175316,0.001227807647014475,2.3633014622164945e-05,0.28165217532831077,0.026723261922597885,0.024949412792921066,0.0012277120258659124,0.0007825989741832018,0.9922298789024353,0.9949830174446106,0.16753257811069489,0.012286264449357986,0.48792198300361633,0.33225926756858826
24,0.009582907857154222,0.009181455899537965,0.0011942490503904135,2.189762145623236e-05,0.2795781710568596,0.02657814510166645,0.025639496743679047,0.001194699783809483,0.0008272333070635796,0.9924388527870178,0.994696855545044,0.16861680150032043,0.012468390166759491,0.48713845014572144,0.33177638053894043
25,0.009524647198507891,0.009167375064200976,0.0011990469137398417,1.6604066417237526e-05,0.27748680596842484,0.0264117568731308,0.02447781153023243,0.0011986133176833391,0.000747231999412179,0.9924140572547913,0.9952097535133362,0.17211748659610748,0.012166295200586319,0.48723435401916504,0.3284817934036255
26,0.009550894796848296,0.009155867028642784,0.0011780575742972466,2.264332990093595e-05,0.27904929466107314,0.026296323165297508,0.0245200265198946,0.0011779865017160773,0.0007534754113294184,0.9925445914268494,0.9951696991920471,0.1739436239004135,0.011887461878359318,0.4848770201206207,0.3292917311191559
27,0.009435593862743938,0.009161441184749658,0.0011719337380354238,1.9112588993533897e-05,0.2754171181251021,0.02621440775692463,0.024681882932782173,0.0011725208023563027,0.0007613645284436643,0.9925792217254639,0.9951191544532776,0.1732993870973587,0.011579415760934353,0.48548829555511475,0.32963278889656067
